ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	tig00000001:648377-2775137,tig00000001:1-648376
gene-EfmE745_RS00005		1	1335	complete	tig00000001:648377-649711
gene-EfmE745_RS00010		1533	2663	complete	tig00000001:649909-651039
gene-EfmE745_RS00015		2892	3134	complete	tig00000001:651268-651510
gene-EfmE745_RS00020		3121	4245	complete	tig00000001:651497-652621
gene-EfmE745_RS00025		4242	6188	complete	tig00000001:652618-654564
gene-EfmE745_RS00030		6208	8679	complete	tig00000001:654584-657055
gene-EfmE745_RS00035		8915	9214	complete	tig00000001:657291-657590
gene-EfmE745_RS00040		9264	9776	complete	tig00000001:657640-658152
gene-EfmE745_RS00045		9802	10038	complete	tig00000001:658178-658414
gene-EfmE745_RS00050		10181	12154	complete	tig00000001:658557-660530
gene-EfmE745_RS00055		12160	12612	complete	tig00000001:660536-660988
gene-EfmE745_RS00060		12886	14253	complete	tig00000001:661262-662629
gene-EfmE745_RS00065		15033	16325	complete	tig00000001:663409-664701
gene-EfmE745_RS00070		17112	17975	complete	tig00000001:665488-666351
gene-EfmE745_RS00075		18104	19726	complete	tig00000001:666480-668102
gene-EfmE745_RS00080		19975	20496	complete	tig00000001:668351-668872
gene-EfmE745_RS00085		20682	22412	complete	tig00000001:669058-670788
gene-EfmE745_RS00090		22577	23395	complete	tig00000001:670953-671771
gene-EfmE745_RS00095		23498	23695	complete	tig00000001:671874-672071
gene-EfmE745_RS00100		23864	24442	complete	tig00000001:672240-672818
gene-EfmE745_RS16835		24537	24674	complete	tig00000001:672913-673050
cds-WP_002294338.1		24537	24674	complete	tig00000001:672913-673050
gene-EfmE745_RS00110		25487	25990	complete	tig00000001:673863-674366
gene-EfmE745_RS00115		26349	27374	complete	tig00000001:674725-675750
gene-EfmE745_RS00120		27697	28575	complete	tig00000001:676073-676951
gene-EfmE745_RS16710		29051	29167	complete	tig00000001:677427-677543
gene-EfmE745_RS00125		30095	30433	complete	tig00000001:678471-678809
gene-EfmE745_RS00130		30527	30757	complete	tig00000001:678903-679133
gene-EfmE745_RS00135		31157	31528	complete	tig00000001:679533-679904
gene-EfmE745_RS00140		31802	32494	complete	tig00000001:680178-680870
gene-EfmE745_RS00145		32497	33282	complete	tig00000001:680873-681658
gene-EfmE745_RS00150		33519	34919	complete	tig00000001:681895-683295
gene-EfmE745_RS00155		34944	35261	complete	tig00000001:683320-683637
gene-EfmE745_RS00160		35274	36947	complete	tig00000001:683650-685323
gene-EfmE745_RS00165		36961	38592	complete	tig00000001:685337-686968
