#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:302841-303548|-   -            236 17381                -            234  9.1e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 NODE_1_length_1652082_cov_46.167482_303 # 302841 # 303548 # -1 # ID=1_303;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_4_length_212759_cov_102.864112:148533-149267|+   -            245 17381                -            234   7.8e-32  108.3   0.1   1   1   3.5e-34     9e-32  108.1   0.1     6   230     9   235     4   239 0.92 NODE_4_length_212759_cov_102.864112_144 # 148533 # 149267 # 1 # ID=4_144;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_2_length_840748_cov_42.698360:664647-665366|+    -            240 17381                -            234   6.3e-29   98.8   0.0   1   1     3e-31   7.7e-29   98.5   0.0     5   221     1   222     1   230 0.91 NODE_2_length_840748_cov_42.698360_636 # 664647 # 665366 # 1 # ID=2_636;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:851124-851825|-   -            234 17381                -            234   3.9e-26   89.7   0.7   1   1   1.9e-28   4.8e-26   89.4   0.7     6   225     6   222     1   230 0.89 NODE_1_length_1652082_cov_46.167482_851 # 851124 # 851825 # -1 # ID=1_851;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_4_length_212759_cov_102.864112:48464-49198|-     -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 NODE_4_length_212759_cov_102.864112_48 # 48464 # 49198 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NODE_1_length_1652082_cov_46.167482:1259104-1259817|- -            238 17381                -            234   4.2e-15   53.6   0.2   1   1   2.1e-17   5.4e-15   53.2   0.2    13   230     9   228     3   231 0.88 NODE_1_length_1652082_cov_46.167482_1233 # 1259104 # 1259817 # -1 # ID=1_1233;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_1652082_cov_46.167482:599105-600184|-   -            360 17381                -            234   5.6e-14   49.9   0.2   1   1   3.9e-16     1e-13   49.1   0.2     8    78     4    74     1    89 0.92 NODE_1_length_1652082_cov_46.167482_585 # 599105 # 600184 # -1 # ID=1_585;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_4_length_212759_cov_102.864112:47782-48480|-     -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.8e-12   45.0   0.0    11    92    12    94     6   200 0.83 NODE_4_length_212759_cov_102.864112_47 # 47782 # 48480 # -1 # ID=4_47;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:496736-498160|-    -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14     2e-11   41.5   0.0     4    72     9    77     6    84 0.95 NODE_2_length_840748_cov_42.698360_477 # 496736 # 498160 # -1 # ID=2_477;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_3_length_245057_cov_46.274867:49618-50262|-      -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 NODE_3_length_245057_cov_46.274867_77 # 49618 # 50262 # -1 # ID=3_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_3_length_245057_cov_46.274867:190310-191356|+    -            349 17381                -            234   8.1e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 NODE_3_length_245057_cov_46.274867_198 # 190310 # 191356 # 1 # ID=3_198;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
