#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1592870-1593754|+ -            295 23850                -            279     5e-99  328.5   1.1   1   1  1.3e-101   5.7e-99  328.3   1.1     2   278     4   292     3   293 0.89 NODE_1_length_1652082_cov_46.167482_1545 # 1592870 # 1593754 # 1 # ID=1_1545;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.424
NODE_1_length_1652082_cov_46.167482:781822-782364|-   -            181 23850                -            279   2.3e-05   21.2   1.1   1   1   1.1e-07   4.7e-05   20.2   1.1     3    39     2    38     1    39 0.96 NODE_1_length_1652082_cov_46.167482_784 # 781822 # 782364 # -1 # ID=1_784;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:972633-973529|-   -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.4e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 NODE_1_length_1652082_cov_46.167482_962 # 972633 # 973529 # -1 # ID=1_962;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_1_length_1652082_cov_46.167482:972633-973529|-   -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 NODE_1_length_1652082_cov_46.167482_962 # 972633 # 973529 # -1 # ID=1_962;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_1_length_1652082_cov_46.167482:972633-973529|-   -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00051      0.22    8.2   5.4   133   228   200   294   185   298 0.63 NODE_1_length_1652082_cov_46.167482_962 # 972633 # 973529 # -1 # ID=1_962;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_2_length_840748_cov_42.698360:66500-67213|-      -            238 23850                -            279   0.00042   17.1   1.7   1   2   9.5e-07   0.00042   17.1   1.7   119   192    13    87     3   141 0.67 NODE_2_length_840748_cov_42.698360_67 # 66500 # 67213 # -1 # ID=2_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_2_length_840748_cov_42.698360:66500-67213|-      -            238 23850                -            279   0.00042   17.1   1.7   2   2       1.1   4.9e+02   -2.8   0.1   211   225   158   172   157   182 0.79 NODE_2_length_840748_cov_42.698360_67 # 66500 # 67213 # -1 # ID=2_67;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_2_length_840748_cov_42.698360:613596-614231|-    -            212 23850                -            279   0.00079   16.2   5.1   1   2   1.8e-06   0.00079   16.2   5.1    89   182    31   126    11   146 0.49 NODE_2_length_840748_cov_42.698360_591 # 613596 # 614231 # -1 # ID=2_591;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_2_length_840748_cov_42.698360:613596-614231|-    -            212 23850                -            279   0.00079   16.2   5.1   2   2      0.26   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 NODE_2_length_840748_cov_42.698360_591 # 613596 # 614231 # -1 # ID=2_591;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_2_length_840748_cov_42.698360:532305-533129|-    -            275 23850                -            279     0.001   15.8   0.2   1   2   2.4e-06     0.001   15.8   0.2   115   173    10    67     4    90 0.62 NODE_2_length_840748_cov_42.698360_508 # 532305 # 533129 # -1 # ID=2_508;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
NODE_2_length_840748_cov_42.698360:532305-533129|-    -            275 23850                -            279     0.001   15.8   0.2   2   2      0.24   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 NODE_2_length_840748_cov_42.698360_508 # 532305 # 533129 # -1 # ID=2_508;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
NODE_2_length_840748_cov_42.698360:282657-283304|+    -            216 23850                -            279       3.1    4.4  14.0   1   2    0.0047       2.1    5.0  11.4   114   181     6    73     4   137 0.73 NODE_2_length_840748_cov_42.698360_274 # 282657 # 283304 # 1 # ID=2_274;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_2_length_840748_cov_42.698360:282657-283304|+    -            216 23850                -            279       3.1    4.4  14.0   2   2      0.22        95   -0.5   0.6   143   174   118   149   104   173 0.52 NODE_2_length_840748_cov_42.698360_274 # 282657 # 283304 # 1 # ID=2_274;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/23850at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:42 2026
# [ok]
