#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_109676_cov_33.984218:85752-86396|- -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.1e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_2_length_109676_cov_33.984218_94 # 85752 # 86396 # -1 # ID=2_94;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_19_length_49767_cov_34.796387:44283-44990|+ -            236 28730                -            213   0.00069   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 NODE_19_length_49767_cov_34.796387_44 # 44283 # 44990 # 1 # ID=19_44;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_19_length_49767_cov_34.796387:44283-44990|+ -            236 28730                -            213   0.00069   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 NODE_19_length_49767_cov_34.796387_44 # 44283 # 44990 # 1 # ID=19_44;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_25_length_34995_cov_34.880767:19954-20607|- -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 NODE_25_length_34995_cov_34.880767_24 # 19954 # 20607 # -1 # ID=25_24;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_25_length_34995_cov_34.880767:19954-20607|- -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.026   11.6   0.2   123   189   116   184   105   212 0.75 NODE_25_length_34995_cov_34.880767_24 # 19954 # 20607 # -1 # ID=25_24;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_114283_cov_31.103635:79879-81516|- -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.7e+02   -3.2   0.0    58    87   184   214   175   218 0.67 NODE_1_length_114283_cov_31.103635_75 # 79879 # 81516 # -1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.400
NODE_1_length_114283_cov_31.103635:79879-81516|- -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 NODE_1_length_114283_cov_31.103635_75 # 79879 # 81516 # -1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.400
NODE_1_length_114283_cov_31.103635:79879-81516|- -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.5    3.8   0.0    53    76   461   484   427   499 0.89 NODE_1_length_114283_cov_31.103635_75 # 79879 # 81516 # -1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.400
NODE_9_length_85202_cov_37.123657:66222-68006|+  -            595 28730                -            213    0.0035   14.5   0.2   1   2    0.0031      0.97    6.5   0.0     6    25   384   403   381   413 0.83 NODE_9_length_85202_cov_37.123657_51 # 66222 # 68006 # 1 # ID=9_51;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_9_length_85202_cov_37.123657:66222-68006|+  -            595 28730                -            213    0.0035   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 NODE_9_length_85202_cov_37.123657_51 # 66222 # 68006 # 1 # ID=9_51;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_7_length_86709_cov_33.100688:60380-61081|-  -            234 28730                -            213    0.0037   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 NODE_7_length_86709_cov_33.100688_56 # 60380 # 61081 # -1 # ID=7_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
