#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:736325-736969|-   -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_1_length_1652082_cov_46.167482_742 # 736325 # 736969 # -1 # ID=1_742;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_1_length_1652082_cov_46.167482:1008766-1009473|- -            236 28730                -            213    0.0007   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 NODE_1_length_1652082_cov_46.167482_993 # 1008766 # 1009473 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:1008766-1009473|- -            236 28730                -            213    0.0007   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 NODE_1_length_1652082_cov_46.167482_993 # 1008766 # 1009473 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:1175834-1176487|- -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 NODE_1_length_1652082_cov_46.167482_1153 # 1175834 # 1176487 # -1 # ID=1_1153;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:1175834-1176487|- -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.027   11.6   0.2   123   189   116   184   105   212 0.75 NODE_1_length_1652082_cov_46.167482_1153 # 1175834 # 1176487 # -1 # ID=1_1153;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:580686-582323|-   -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.8e+02   -3.2   0.0    58    87   184   214   175   218 0.67 NODE_1_length_1652082_cov_46.167482_568 # 580686 # 582323 # -1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:580686-582323|-   -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 NODE_1_length_1652082_cov_46.167482_568 # 580686 # 582323 # -1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:580686-582323|-   -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.5    3.8   0.0    53    76   461   484   427   499 0.89 NODE_1_length_1652082_cov_46.167482_568 # 580686 # 582323 # -1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
NODE_3_length_245057_cov_46.274867:222269-224053|+    -            595 28730                -            213    0.0035   14.5   0.2   1   2    0.0031      0.97    6.5   0.0     6    25   384   403   381   413 0.83 NODE_3_length_245057_cov_46.274867_222 # 222269 # 224053 # 1 # ID=3_222;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_3_length_245057_cov_46.274867:222269-224053|+    -            595 28730                -            213    0.0035   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 NODE_3_length_245057_cov_46.274867_222 # 222269 # 224053 # 1 # ID=3_222;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:847906-848607|-   -            234 28730                -            213    0.0038   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 NODE_1_length_1652082_cov_46.167482_846 # 847906 # 848607 # -1 # ID=1_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:847906-848607|-   -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.088    9.9   0.1   127   163   122   157   105   210 0.82 NODE_1_length_1652082_cov_46.167482_846 # 847906 # 848607 # -1 # ID=1_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 28730                -            213    0.0044   14.1   0.1   1   2   4.1e-05     0.013   12.7   0.1     2    24    33    55    32    78 0.85 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 28730                -            213    0.0044   14.1   0.1   2   2       2.4   7.5e+02   -3.0   0.0    17    40   181   204   161   215 0.51 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 28730                -            213     0.009   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:1450429-1451235|- -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 NODE_1_length_1652082_cov_46.167482_1413 # 1450429 # 1451235 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
