#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1751112-1751819|+ -            236 17381                -            234  9.2e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 tig00000001_1684 # 1751112 # 1751819 # 1 # ID=1_1684;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
tig00000002:96492-97226|-     -            245 17381                -            234     8e-32  108.3   0.1   1   1   3.5e-34   9.2e-32  108.1   0.1     6   230     9   235     4   239 0.92 tig00000002_98 # 96492 # 97226 # -1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001:2725012-2725731|+ -            240 17381                -            234   6.4e-29   98.8   0.0   1   1     3e-31   7.8e-29   98.5   0.0     5   221     1   222     1   230 0.91 tig00000001_2639 # 2725012 # 2725731 # 1 # ID=1_2639;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:1202852-1203553|+ -            234 17381                -            234     4e-26   89.7   0.7   1   1   1.9e-28   4.9e-26   89.4   0.7     6   225     6   222     1   230 0.89 tig00000001_1129 # 1202852 # 1203553 # 1 # ID=1_1129;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000002:196788-197966|+   -            393 17381                -            234   2.8e-22   77.1   0.0   1   2   8.5e-11   2.2e-08   31.6   0.1    87   219     3   136     1   147 0.91 tig00000002_193 # 196788 # 197966 # 1 # ID=2_193;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
tig00000002:196788-197966|+   -            393 17381                -            234   2.8e-22   77.1   0.0   2   2   2.2e-14   5.8e-12   43.3   0.0    11    80   172   241   165   359 0.85 tig00000002_193 # 196788 # 197966 # 1 # ID=2_193;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
tig00000001:794871-795584|+   -            238 17381                -            234   4.2e-15   53.6   0.2   1   1   2.1e-17   5.5e-15   53.2   0.2    13   230     9   228     3   231 0.88 tig00000001_742 # 794871 # 795584 # 1 # ID=1_742;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:1454486-1455565|+ -            360 17381                -            234   5.7e-14   49.9   0.2   1   1   3.9e-16     1e-13   49.1   0.2     8    78     4    74     1    89 0.92 tig00000001_1397 # 1454486 # 1455565 # 1 # ID=1_1397;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:2557102-2558526|- -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14   2.1e-11   41.5   0.0     4    72     9    77     6    84 0.95 tig00000001_2480 # 2557102 # 2558526 # -1 # ID=1_2480;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:197767-198411|-   -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 tig00000001_216 # 197767 # 198411 # -1 # ID=1_216;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001:338452-339498|+   -            349 17381                -            234   8.3e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 tig00000001_339 # 338452 # 339498 # 1 # ID=1_339;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
