# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5293449at2	Complete	NODE_11_length_113754_cov_100.754285	46146	45544	-	153.0	166
9759736at2	Complete	NODE_1_length_385945_cov_86.278628	278141	280177	+	524.8	530
9767721at2	Complete	NODE_1_length_385945_cov_86.278628	264924	266213	+	444.1	412
9771806at2	Complete	NODE_1_length_385945_cov_86.278628	296963	298129	+	317.7	299
9776390at2	Complete	NODE_18_length_58283_cov_66.770060	41911	40994	-	213.7	217
9776733at2	Complete	NODE_10_length_119333_cov_96.609128	3413	4462	+	495.9	303
9778364at2	Complete	NODE_4_length_193524_cov_77.069373	68750	67464	-	416.4	356
9778722at2	Complete	NODE_16_length_62801_cov_61.371830	46921	47754	+	474.4	276
9781053at2	Complete	NODE_10_length_119333_cov_96.609128	40583	41305	+	269.8	211
9782003at2	Complete	NODE_1_length_385945_cov_86.278628	198962	200230	+	308.7	309
9788336at2	Complete	NODE_29_length_26158_cov_60.714258	2249	1797	-	90.6	119
9790352at2	Complete	NODE_12_length_96937_cov_75.325559	36673	35957	-	245.3	249
9791908at2	Complete	NODE_2_length_304403_cov_65.784473	12383	12871	+	201.4	129
9793681at2	Fragmented	NODE_6_length_183174_cov_88.861183	96386	96126	-	114.0	83
9797833at2	Complete	NODE_16_length_62801_cov_61.371830	47797	48075	+	146.4	78
9799262at2	Complete	NODE_11_length_113754_cov_100.754285	30958	30689	-	140.5	87
9800507at2	Complete	NODE_10_length_119333_cov_96.609128	44280	44840	+	235.3	177
9800696at2	Complete	NODE_30_length_20136_cov_58.816694	8514	9635	+	517.7	352
9800719at2	Complete	NODE_2_length_304403_cov_65.784473	95285	96328	+	514.9	337
9801107at2	Complete	NODE_34_length_13809_cov_53.503775	13090	11480	-	616.2	446
9801213at2	Complete	NODE_2_length_304403_cov_65.784473	19972	21411	+	600.2	441
9801330at2	Complete	NODE_24_length_31976_cov_58.492972	282	725	+	141.9	108
9801549at2	Complete	NODE_2_length_304403_cov_65.784473	16109	16837	+	291.9	263
9801753at2	Complete	NODE_5_length_185063_cov_65.589034	75987	76283	+	106.6	70
9802065at2	Complete	NODE_2_length_304403_cov_65.784473	23058	24593	+	690.4	480
9802219at2	Duplicated	NODE_16_length_62801_cov_61.371830	23677	22112	-	308.2	255
9802219at2	Duplicated	NODE_3_length_223274_cov_181.317177	2	1567	+	307.1	255
9802304at2	Complete	NODE_6_length_183174_cov_88.861183	85780	83840	-	596.8	460
9802309at2	Complete	NODE_1_length_385945_cov_86.278628	215216	216139	+	211.6	191
9802366at2	Complete	NODE_16_length_62801_cov_61.371830	40060	40473	+	200.2	119
