#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:523438-525447|-   -            670 599                  -            669         0 1419.4   3.5   1   1         0         0 1419.3   3.5     1   669     1   669     1   669 1.00 NODE_1_length_1652082_cov_46.167482_514 # 523438 # 525447 # -1 # ID=1_514;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:443058-445703|-   -            882 599                  -            669   3.1e-29   99.5   0.8   1   2   1.2e-15   6.3e-13   45.6   0.1     5   125    39   177    35   197 0.80 NODE_1_length_1652082_cov_46.167482_445 # 443058 # 445703 # -1 # ID=1_445;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:443058-445703|-   -            882 599                  -            669   3.1e-29   99.5   0.8   2   2   1.1e-17   5.9e-15   52.3   0.1   236   515   449   726   440   749 0.79 NODE_1_length_1652082_cov_46.167482_445 # 443058 # 445703 # -1 # ID=1_445;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_3_length_245057_cov_46.274867:226335-228749|-    -            805 599                  -            669   1.6e-25   87.2   2.9   1   2     5e-16   2.6e-13   46.9   0.0     3   197    29   218    28   228 0.84 NODE_3_length_245057_cov_46.274867_224 # 226335 # 228749 # -1 # ID=3_224;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_3_length_245057_cov_46.274867:226335-228749|-    -            805 599                  -            669   1.6e-25   87.2   2.9   2   2   9.1e-13   4.7e-10   36.1   2.3   255   398   514   671   502   698 0.67 NODE_3_length_245057_cov_46.274867_224 # 226335 # 228749 # -1 # ID=3_224;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_1_length_1652082_cov_46.167482:672689-675487|-   -            933 599                  -            669   2.4e-19   66.8   0.6   1   2   5.1e-11   2.6e-08   30.3   0.0    14   142    57   199    45   221 0.78 NODE_1_length_1652082_cov_46.167482_679 # 672689 # 675487 # -1 # ID=1_679;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:672689-675487|-   -            933 599                  -            669   2.4e-19   66.8   0.6   2   2   3.1e-12   1.6e-09   34.4   0.4   295   511   578   795   538   835 0.79 NODE_1_length_1652082_cov_46.167482_679 # 672689 # 675487 # -1 # ID=1_679;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:1584029-1585441|+ -            471 599                  -            669   2.1e-09   33.9   1.3   1   2   8.9e-11   4.6e-08   29.5   0.2     7   129    25   144    20   161 0.85 NODE_1_length_1652082_cov_46.167482_1535 # 1584029 # 1585441 # 1 # ID=1_1535;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_1_length_1652082_cov_46.167482:1584029-1585441|+ -            471 599                  -            669   2.1e-09   33.9   1.3   2   2    0.0087       4.5    3.1   0.0   306   336   267   297   252   390 0.90 NODE_1_length_1652082_cov_46.167482_1535 # 1584029 # 1585441 # 1 # ID=1_1535;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_2_length_840748_cov_42.698360:436091-438511|-    -            807 599                  -            669   0.00038   16.5   0.3   1   3   3.4e-06    0.0018   14.4   0.1   572   648    46   125    36   142 0.80 NODE_2_length_840748_cov_42.698360_420 # 436091 # 438511 # -1 # ID=2_420;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_2_length_840748_cov_42.698360:436091-438511|-    -            807 599                  -            669   0.00038   16.5   0.3   2   3      0.46   2.4e+02   -2.6   0.0   513   527   150   164   145   172 0.84 NODE_2_length_840748_cov_42.698360_420 # 436091 # 438511 # -1 # ID=2_420;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
