#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_119333_cov_96.609128:32456-33355|+  -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_10_length_119333_cov_96.609128_29 # 32456 # 33355 # 1 # ID=10_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_2_length_304403_cov_65.784473:186884-187654|+ -            257 18171                -            288   0.00035   17.7   0.0   1   1   2.5e-06   0.00065   16.8   0.0   153   183    38    67     8    81 0.85 NODE_2_length_304403_cov_65.784473_178 # 186884 # 187654 # 1 # ID=2_178;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_11_length_113754_cov_100.754285:77382-78137|- -            252 18171                -            288   0.00042   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 NODE_11_length_113754_cov_100.754285_76 # 77382 # 78137 # -1 # ID=11_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_11_length_113754_cov_100.754285:77382-78137|- -            252 18171                -            288   0.00042   17.5   0.2   2   2      0.64   1.6e+02   -0.9   0.1   114   159   167   213   143   244 0.70 NODE_11_length_113754_cov_100.754285_76 # 77382 # 78137 # -1 # ID=11_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_12_length_96937_cov_75.325559:15915-16661|-   -            249 18171                -            288    0.0017   15.4   0.2   1   2    0.0013      0.33    8.0   0.0   148   182    28    62    10    81 0.80 NODE_12_length_96937_cov_75.325559_17 # 15915 # 16661 # -1 # ID=12_17;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_12_length_96937_cov_75.325559:15915-16661|-   -            249 18171                -            288    0.0017   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 NODE_12_length_96937_cov_75.325559_17 # 15915 # 16661 # -1 # ID=12_17;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_24_length_31976_cov_58.492972:3366-4106|+     -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.24    8.4   0.0   150   172    26    48     9    77 0.77 NODE_24_length_31976_cov_58.492972_4 # 3366 # 4106 # 1 # ID=24_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_24_length_31976_cov_58.492972:3366-4106|+     -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.4    4.6   0.0   112   152   163   203   119   214 0.85 NODE_24_length_31976_cov_58.492972_4 # 3366 # 4106 # 1 # ID=24_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_17_length_58686_cov_60.941844:32343-32981|+   -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05     0.005   13.9   0.0   136   172    13    51     6    91 0.79 NODE_17_length_58686_cov_60.941844_29 # 32343 # 32981 # 1 # ID=17_29;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_16_length_62801_cov_61.371830:30713-32275|+   -            521 18171                -            288    0.0041   14.2   1.5   1   2   0.00014     0.037   11.1   0.1   147   182    29    64     1    87 0.75 NODE_16_length_62801_cov_61.371830_30 # 30713 # 32275 # 1 # ID=16_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_16_length_62801_cov_61.371830:30713-32275|+   -            521 18171                -            288    0.0041   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 NODE_16_length_62801_cov_61.371830_30 # 30713 # 32275 # 1 # ID=16_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
