#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:564844-566196|+   -            451 18664                -            443  1.1e-284  941.3   1.4   1   1  1.5e-287  1.2e-284  941.1   1.4     1   443     1   445     1   445 0.99 NODE_1_length_1652082_cov_46.167482_554 # 564844 # 566196 # 1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_1652082_cov_46.167482:1220715-1222127|- -            471 18664                -            443   4.8e-15   52.6   0.3   1   3   2.4e-07   0.00018   17.7   0.3    49   141   120   213    98   264 0.70 NODE_1_length_1652082_cov_46.167482_1195 # 1220715 # 1222127 # -1 # ID=1_1195;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_1652082_cov_46.167482:1220715-1222127|- -            471 18664                -            443   4.8e-15   52.6   0.3   2   3   1.3e-11     1e-08   31.7   0.0   242   344   268   372   262   378 0.88 NODE_1_length_1652082_cov_46.167482_1195 # 1220715 # 1222127 # -1 # ID=1_1195;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_1652082_cov_46.167482:1220715-1222127|- -            471 18664                -            443   4.8e-15   52.6   0.3   3   3    0.0077         6    2.8   0.0    82   140   350   412   339   420 0.75 NODE_1_length_1652082_cov_46.167482_1195 # 1220715 # 1222127 # -1 # ID=1_1195;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_1652082_cov_46.167482:684011-685372|-   -            454 18664                -            443   1.1e-11   41.5   0.3   1   2     3e-08   2.3e-05   20.7   0.0    48   142   111   201    98   231 0.84 NODE_1_length_1652082_cov_46.167482_688 # 684011 # 685372 # -1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_1_length_1652082_cov_46.167482:684011-685372|-   -            454 18664                -            443   1.1e-11   41.5   0.3   2   2     1e-07   7.8e-05   18.9   0.1   261   313   274   327   260   362 0.83 NODE_1_length_1652082_cov_46.167482_688 # 684011 # 685372 # -1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 18664                -            443    0.0096   12.1   4.6   1   3   0.00053      0.41    6.7   0.0    42    71    98   127    87   143 0.89 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 18664                -            443    0.0096   12.1   4.6   2   3    0.0014         1    5.3   1.5   123   192   166   234   158   251 0.84 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_2_length_840748_cov_42.698360:166261-167595|+    -            445 18664                -            443    0.0096   12.1   4.6   3   3      0.18   1.4e+02   -1.7   0.0   260   284   259   283   231   295 0.76 NODE_2_length_840748_cov_42.698360_154 # 166261 # 167595 # 1 # ID=2_154;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18664at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18664at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18664at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:11 2026
# [ok]
