#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:105343-106050|-  -            236 17381                -            234  9.2e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 NODE_4_length_185058_cov_63.073482_96 # 105343 # 106050 # -1 # ID=4_96;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_5_length_181677_cov_163.395180:124063-124797|+ -            245 17381                -            234     8e-32  108.3   0.1   1   1   3.5e-34   9.2e-32  108.1   0.1     6   230     9   235     4   239 0.92 NODE_5_length_181677_cov_163.395180_120 # 124063 # 124797 # 1 # ID=5_120;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_21_length_53836_cov_80.584707:7095-7814|+      -            240 17381                -            234   6.5e-29   98.8   0.0   1   1     3e-31   7.8e-29   98.5   0.0     5   221     1   222     1   230 0.91 NODE_21_length_53836_cov_80.584707_9 # 7095 # 7814 # 1 # ID=21_9;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_19_length_58687_cov_59.880605:50261-50962|+    -            234 17381                -            234     4e-26   89.7   0.7   1   1   1.9e-28   4.9e-26   89.4   0.7     6   225     6   222     1   230 0.89 NODE_19_length_58687_cov_59.880605_47 # 50261 # 50962 # 1 # ID=19_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_5_length_181677_cov_163.395180:23994-24728|-   -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 NODE_5_length_181677_cov_163.395180_26 # 23994 # 24728 # -1 # ID=5_26;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NODE_10_length_113754_cov_99.095655:46839-47552|-   -            238 17381                -            234   4.2e-15   53.6   0.2   1   1   2.1e-17   5.5e-15   53.2   0.2    13   230     9   228     3   231 0.88 NODE_10_length_113754_cov_99.095655_46 # 46839 # 47552 # -1 # ID=10_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_16_length_63808_cov_77.334802:44204-45283|+    -            360 17381                -            234   5.8e-14   49.9   0.2   1   1   3.9e-16     1e-13   49.1   0.2     8    78     4    74     1    89 0.92 NODE_16_length_63808_cov_77.334802_48 # 44204 # 45283 # 1 # ID=16_48;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_5_length_181677_cov_163.395180:23312-24010|-   -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.8e-12   45.0   0.0    11    92    12    94     6   200 0.83 NODE_5_length_181677_cov_163.395180_25 # 23312 # 24010 # -1 # ID=5_25;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_1_length_304474_cov_63.252055:36684-38108|+    -            475 17381                -            234   1.2e-11   42.4   0.0   1   1   7.9e-14   2.1e-11   41.5   0.0     4    72     9    77     6    84 0.95 NODE_1_length_304474_cov_63.252055_34 # 36684 # 38108 # 1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_3_length_193524_cov_75.578528:49596-50240|-    -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 NODE_3_length_193524_cov_75.578528_77 # 49596 # 50240 # -1 # ID=3_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_3_length_193524_cov_75.578528:190289-191335|+  -            349 17381                -            234   8.3e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 NODE_3_length_193524_cov_75.578528_198 # 190289 # 191335 # 1 # ID=3_198;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_4_length_185058_cov_63.073482:147493-148887|+  -            465 17381                -            234   5.5e-07   27.1   0.0   1   1   4.9e-09   1.3e-06   25.8   0.0     6    98    23   115    19   136 0.82 NODE_4_length_185058_cov_63.073482_143 # 147493 # 148887 # 1 # ID=4_143;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/17381at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:23 2026
# [ok]
