ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	tig00000001_pilon:648401-1888367,tig00000001_pilon:1889718-1888368,tig00000001_pilon:1889719-2775227,tig00000001_pilon:1-648400
gene-EfmE745_RS00005		1	1335	complete	tig00000001_pilon:648401-649735
gene-EfmE745_RS00010		1533	2663	complete	tig00000001_pilon:649933-651063
gene-EfmE745_RS00015		2892	3134	complete	tig00000001_pilon:651292-651534
gene-EfmE745_RS00020		3121	4245	complete	tig00000001_pilon:651521-652645
gene-EfmE745_RS00025		4242	6188	complete	tig00000001_pilon:652642-654588
gene-EfmE745_RS00030		6208	8679	complete	tig00000001_pilon:654608-657079
gene-EfmE745_RS00035		8915	9214	complete	tig00000001_pilon:657315-657614
gene-EfmE745_RS00040		9264	9776	complete	tig00000001_pilon:657664-658176
gene-EfmE745_RS00045		9802	10038	complete	tig00000001_pilon:658202-658438
gene-EfmE745_RS00050		10181	12154	complete	tig00000001_pilon:658581-660554
gene-EfmE745_RS00055		12160	12612	complete	tig00000001_pilon:660560-661012
gene-EfmE745_RS00060		12886	14253	complete	tig00000001_pilon:661286-662653
gene-EfmE745_RS00065		15033	16325	complete	tig00000001_pilon:663433-664725
gene-EfmE745_RS00070		17112	17975	complete	tig00000001_pilon:665512-666375
gene-EfmE745_RS00075		18104	19726	complete	tig00000001_pilon:666504-668126
gene-EfmE745_RS00080		19975	20496	complete	tig00000001_pilon:668375-668896
gene-EfmE745_RS00085		20682	22412	complete	tig00000001_pilon:669082-670812
gene-EfmE745_RS00090		22577	23395	complete	tig00000001_pilon:670977-671795
gene-EfmE745_RS00095		23498	23695	complete	tig00000001_pilon:671898-672095
gene-EfmE745_RS00100		23864	24442	complete	tig00000001_pilon:672264-672842
gene-EfmE745_RS16835		24537	24674	complete	tig00000001_pilon:672937-673074
cds-WP_002294338.1		24537	24674	complete	tig00000001_pilon:672937-673074
gene-EfmE745_RS00110		25487	25990	complete	tig00000001_pilon:673887-674390
gene-EfmE745_RS00115		26349	27374	complete	tig00000001_pilon:674749-675774
gene-EfmE745_RS00120		27697	28575	complete	tig00000001_pilon:676097-676975
