#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_245057_cov_46.274867:142515-142859|+    -            115 14868                -            115   7.3e-52  171.9   0.4   1   1   2.3e-54   7.9e-52  171.8   0.4     1   112     1   112     1   114 0.98 NODE_3_length_245057_cov_46.274867_166 # 142515 # 142859 # 1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_1_length_1652082_cov_46.167482:274525-275127|-   -            201 14868                -            115   3.7e-09   34.3   7.3   1   3   4.6e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 NODE_1_length_1652082_cov_46.167482_274 # 274525 # 275127 # -1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:274525-275127|-   -            201 14868                -            115   3.7e-09   34.3   7.3   2   3     0.045        15    3.3   0.2    25    70    93   138    77   149 0.60 NODE_1_length_1652082_cov_46.167482_274 # 274525 # 275127 # -1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:274525-275127|-   -            201 14868                -            115   3.7e-09   34.3   7.3   3   3      0.13        44    1.8   0.8    45    69   167   191   136   199 0.49 NODE_1_length_1652082_cov_46.167482_274 # 274525 # 275127 # -1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:928798-929460|+   -            221 14868                -            115    0.0043   14.7   4.9   1   2   0.00043      0.15    9.8   0.2     4    76    25    99    24   109 0.82 NODE_1_length_1652082_cov_46.167482_920 # 928798 # 929460 # 1 # ID=1_920;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:928798-929460|+   -            221 14868                -            115    0.0043   14.7   4.9   2   2    0.0035       1.2    6.9   0.7    38    85   143   189   115   213 0.83 NODE_1_length_1652082_cov_46.167482_920 # 928798 # 929460 # 1 # ID=1_920;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_2_length_840748_cov_42.698360:479256-479702|-    -            149 14868                -            115      0.13   10.0   3.7   1   2      0.53   1.8e+02   -0.2   0.3    43    43    34    34     6    66 0.51 NODE_2_length_840748_cov_42.698360_464 # 479256 # 479702 # -1 # ID=2_464;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_2_length_840748_cov_42.698360:479256-479702|-    -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00019     0.066   10.9   0.3    42    83    82   123    72   124 0.87 NODE_2_length_840748_cov_42.698360_464 # 479256 # 479702 # -1 # ID=2_464;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_1652082_cov_46.167482:972633-973529|-   -            299 14868                -            115      0.42    8.3  12.4   1   2   4.5e-05     0.015   13.0   3.1    14    78    40   104    35   164 0.86 NODE_1_length_1652082_cov_46.167482_962 # 972633 # 973529 # -1 # ID=1_962;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_1_length_1652082_cov_46.167482:972633-973529|-   -            299 14868                -            115      0.42    8.3  12.4   2   2      0.51   1.7e+02   -0.1   1.9    37    69   207   239   196   253 0.77 NODE_1_length_1652082_cov_46.167482_962 # 972633 # 973529 # -1 # ID=1_962;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_6_length_62897_cov_74.026034:48303-49169|-       -            289 14868                -            115      0.45    8.2   6.5   1   1    0.0023      0.77    7.5   6.5    38   110    99   170    72   174 0.88 NODE_6_length_62897_cov_74.026034_59 # 48303 # 49169 # -1 # ID=6_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.303
