#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:246857-247285|- -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.9e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_1_length_1652082_cov_46.167482_254 # 246857 # 247285 # -1 # ID=1_254;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_2_length_840748_cov_42.698360:403493-403939|-  -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   5.7e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 NODE_2_length_840748_cov_42.698360_387 # 403493 # 403939 # -1 # ID=2_387;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_2_length_840748_cov_42.698360:625859-626326|-  -            156 29046                -            140   1.9e-23   80.6   3.6   1   1     1e-25   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 NODE_2_length_840748_cov_42.698360_605 # 625859 # 626326 # -1 # ID=2_605;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_3_length_245057_cov_46.274867:30242-31381|+    -            380 29046                -            140     0.048   11.2   7.0   1   2    0.0001     0.022   12.2   2.9     3    80    49   126    47   138 0.90 NODE_3_length_245057_cov_46.274867_58 # 30242 # 31381 # 1 # ID=3_58;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_3_length_245057_cov_46.274867:30242-31381|+    -            380 29046                -            140     0.048   11.2   7.0   2   2      0.69   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 NODE_3_length_245057_cov_46.274867_58 # 30242 # 31381 # 1 # ID=3_58;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_4_length_212759_cov_102.864112:46412-47092|-   -            227 29046                -            140     0.081   10.4   3.2   1   2    0.0022      0.48    7.9   0.2    37    68    26    57     5    74 0.85 NODE_4_length_212759_cov_102.864112_46 # 46412 # 47092 # -1 # ID=4_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
NODE_4_length_212759_cov_102.864112:46412-47092|-   -            227 29046                -            140     0.081   10.4   3.2   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_4_length_212759_cov_102.864112_46 # 46412 # 47092 # -1 # ID=4_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
NODE_4_length_212759_cov_102.864112:26559-27239|+   -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_4_length_212759_cov_102.864112_25 # 26559 # 27239 # 1 # ID=4_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_4_length_212759_cov_102.864112:26559-27239|+   -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_4_length_212759_cov_102.864112_25 # 26559 # 27239 # 1 # ID=4_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_4_length_212759_cov_102.864112:53450-54130|-   -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_4_length_212759_cov_102.864112_54 # 53450 # 54130 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_4_length_212759_cov_102.864112:53450-54130|-   -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_4_length_212759_cov_102.864112_54 # 53450 # 54130 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
