#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:696084-697646|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 tig00000001_pilon_631 # 696084 # 697646 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon:2561319-2562845|- -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 tig00000001_pilon_2457 # 2561319 # 2562845 # -1 # ID=1_2457;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:2494374-2495111|- -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 tig00000001_pilon_2395 # 2494374 # 2495111 # -1 # ID=1_2395;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:2136412-2137149|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1     7e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 tig00000001_pilon_2053 # 2136412 # 2137149 # -1 # ID=1_2053;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001_pilon:1157188-1158231|+ -            348 18543                -            519   7.5e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 tig00000001_pilon_1079 # 1157188 # 1158231 # 1 # ID=1_1079;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001_pilon:804964-805704|-   -            247 18543                -            519   2.3e-35  119.4   1.6   1   1     7e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 tig00000001_pilon_747 # 804964 # 805704 # -1 # ID=1_747;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001_pilon:1220349-1221422|+ -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.4e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 tig00000001_pilon_1137 # 1220349 # 1221422 # 1 # ID=1_1137;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001_pilon:849624-850799|-   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.8e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 tig00000001_pilon_790 # 849624 # 850799 # -1 # ID=1_790;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
tig00000001_pilon:1644746-1645489|+ -            248 18543                -            519   7.3e-32  107.9   0.0   1   1   2.2e-33   8.8e-32  107.6   0.0     7   226     2   216     1   230 0.93 tig00000001_pilon_1559 # 1644746 # 1645489 # 1 # ID=1_1559;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
tig00000001_pilon:2619201-2619893|- -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 tig00000001_pilon_2515 # 2619201 # 2619893 # -1 # ID=1_2515;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001_pilon:1021973-1022725|+ -            251 18543                -            519   5.2e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 tig00000001_pilon_959 # 1021973 # 1022725 # 1 # ID=1_959;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
