#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2149919-2152072|- -            718 27469                -            714         0 1066.3  14.3   1   1         0         0 1066.1  14.3     6   713    12   716     6   717 0.97 NZ_CP014529.1_2087 # 2149919 # 2152072 # -1 # ID=1_2087;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
NZ_CP014529.1:717749-719941|+   -            731 27469                -            714   1.1e-24   84.2  16.0   1   3   7.3e-07   0.00057   15.7   0.6    36   131    28   136     1   181 0.65 NZ_CP014529.1_693 # 717749 # 719941 # 1 # ID=1_693;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NZ_CP014529.1:717749-719941|+   -            731 27469                -            714   1.1e-24   84.2  16.0   2   3   7.3e-17   5.7e-14   48.8   0.3   282   488   210   414   200   429 0.82 NZ_CP014529.1_693 # 717749 # 719941 # 1 # ID=1_693;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NZ_CP014529.1:717749-719941|+   -            731 27469                -            714   1.1e-24   84.2  16.0   3   3   1.5e-10   1.2e-07   27.9   3.9   545   685   444   579   409   606 0.74 NZ_CP014529.1_693 # 717749 # 719941 # 1 # ID=1_693;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NZ_CP014529.1:1669229-1671268|+ -            680 27469                -            714   3.7e-19   66.0   9.3   1   2     0.024        19    0.8   0.0    71    94   163   186   154   217 0.86 NZ_CP014529.1_1641 # 1669229 # 1671268 # 1 # ID=1_1641;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NZ_CP014529.1:1669229-1671268|+ -            680 27469                -            714   3.7e-19   66.0   9.3   2   2     5e-18   3.9e-15   52.7   8.5   280   698   293   669   267   679 0.74 NZ_CP014529.1_1641 # 1669229 # 1671268 # 1 # ID=1_1641;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NZ_CP014529.1:2446771-2448942|- -            724 27469                -            714   1.2e-10   37.8   2.3   1   3      0.33   2.6e+02   -2.9   0.0   140   184    61   104    46   114 0.74 NZ_CP014529.1_2393 # 2446771 # 2448942 # -1 # ID=1_2393;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
NZ_CP014529.1:2446771-2448942|- -            724 27469                -            714   1.2e-10   37.8   2.3   2   3   1.5e-06    0.0012   14.7   0.0   288   424   283   421   277   458 0.68 NZ_CP014529.1_2393 # 2446771 # 2448942 # -1 # ID=1_2393;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
NZ_CP014529.1:2446771-2448942|- -            724 27469                -            714   1.2e-10   37.8   2.3   3   3     1e-08   7.8e-06   21.9   0.5   553   671   499   602   478   611 0.74 NZ_CP014529.1_2393 # 2446771 # 2448942 # -1 # ID=1_2393;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27469at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27469at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27469at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:49 2026
# [ok]
