# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
tig00000001_pilon_pilon	cds	123	725	-	EFM745_00001	-	-	-	-	-	-
tig00000001_pilon_pilon	cds	1017	1475	-	EFM745_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CNL1
tig00000001_pilon_pilon	cds	1488	2816	-	EFM745_00003	884.0	0.0	1.0	0.993	0.998	UniRef:UniRef90_A0A829F3U2
tig00000001_pilon_pilon	cds	2830	4242	-	EFM745_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A9Q8R1I1
tig00000001_pilon_pilon	cds	4259	5023	-	EFM745_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CNK5
tig00000001_pilon_pilon	cds	5127	6002	-	EFM745_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZED9
tig00000001_pilon_pilon	tRNA	6257	6341	-	EFM745_00007	69.2	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6359	6430	-	EFM745_00008	65.2	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6440	6512	-	EFM745_00009	68.4	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6574	6658	-	EFM745_00010	68.7	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6679	6749	-	EFM745_00011	70.6	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6795	6866	-	EFM745_00012	65.2	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6878	6950	-	EFM745_00013	68.4	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	6953	7026	-	EFM745_00014	70.3	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7033	7113	-	EFM745_00015	72.0	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7115	7190	-	EFM745_00016	83.4	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7226	7298	-	EFM745_00017	68.2	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7308	7380	-	EFM745_00018	76.7	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7396	7467	-	EFM745_00019	72.5	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7482	7571	-	EFM745_00020	73.2	-	-	-	-	-
tig00000001_pilon_pilon	tRNA	7611	7684	-	EFM745_00021	70.4	-	-	-	-	-
tig00000001_pilon_pilon	rRNA	7694	7809	-	EFM745_00022	92.1	2.1e-15	-	-	-	RFAM:RF00001
tig00000001_pilon_pilon	rRNA	7904	10818	-	EFM745_00023	2963.3	2.1e-06	-	-	-	RFAM:RF02541
tig00000001_pilon_pilon	tRNA	11111	11183	-	EFM745_00024	74.9	-	-	-	-	-
tig00000001_pilon_pilon	rRNA	11260	12820	-	EFM745_00025	1635.7	1.2e-49	-	-	-	RFAM:RF00177
tig00000001_pilon_pilon	cds	13506	15011	-	EFM745_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZCK2
tig00000001_pilon_pilon	cds	15008	15694	-	EFM745_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A179ERW9
tig00000001_pilon_pilon	cds	15887	17308	-	EFM745_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZCB2
tig00000001_pilon_pilon	cds	17478	17657	-	EFM745_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A7SLK1
tig00000001_pilon_pilon	cds	17715	18284	-	EFM745_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P333
tig00000001_pilon_pilon	cds	18470	19372	+	EFM745_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132YXU2
tig00000001_pilon_pilon	cds	19407	21191	-	EFM745_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132YXT5
tig00000001_pilon_pilon	cds	21265	22227	-	EFM745_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_I3U0T7
tig00000001_pilon_pilon	cds	22395	25709	-	EFM745_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1B5FU27
tig00000001_pilon_pilon	cds	25940	26125	+	EFM745_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CGE1
tig00000001_pilon_pilon	cds	26187	27383	-	EFM745_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Y3JPG7
tig00000001_pilon_pilon	cds	27638	28933	+	EFM745_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132YYD7
tig00000001_pilon_pilon	cds	29075	30619	-	EFM745_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V2UA20
tig00000001_pilon_pilon	cds	30804	31613	+	EFM745_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CGD3
tig00000001_pilon_pilon	cds	31793	33088	+	EFM745_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z5N7
tig00000001_pilon_pilon	cds	33310	35463	-	EFM745_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2W4I7X2
tig00000001_pilon_pilon	cds	35757	36605	-	EFM745_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S8JEN8
tig00000001_pilon_pilon	cds	36829	38769	-	EFM745_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829FJT2
tig00000001_pilon_pilon	cds	39106	39285	-	EFM745_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A7SKX6
