#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1999378-1999950|+ -            191 8319                 -            236  8.9e-121  399.2   0.1   1   1  6.3e-123  9.9e-121  399.0   0.1    49   236     1   190     1   190 0.98 tig00000001_1919 # 1999378 # 1999950 # 1 # ID=1_1919;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435
tig00000001:189621-190325|-   -            235 8319                 -            236   2.7e-58  194.7   0.1   1   1   2.1e-60   3.3e-58  194.4   0.1     2   230     3   228     1   233 0.87 tig00000001_206 # 189621 # 190325 # -1 # ID=1_206;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:630796-631485|+   -            230 8319                 -            236   3.4e-57  191.1   2.1   1   1   2.4e-59   3.8e-57  190.9   2.1     1   231     1   227     1   229 0.92 tig00000001_577 # 630796 # 631485 # 1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
tig00000001:1909070-1909774|- -            235 8319                 -            236   5.5e-56  187.1   0.7   1   1   4.2e-58   6.6e-56  186.8   0.7     2   232     3   231     1   233 0.94 tig00000001_1827 # 1909070 # 1909774 # -1 # ID=1_1827;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000005:2932-3627|+       -            232 8319                 -            236   1.2e-50  169.7   0.3   1   1   8.7e-53   1.4e-50  169.4   0.3     2   231     4   230     3   231 0.91 tig00000005_6 # 2932 # 3627 # 1 # ID=5_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001:15008-15694|-     -            229 8319                 -            236   2.4e-50  168.6   0.7   1   1   1.9e-52   2.9e-50  168.4   0.7     2   229     3   225     2   228 0.93 tig00000001_9 # 15008 # 15694 # -1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.408
tig00000005:35356-36813|+     -            486 8319                 -            236   4.5e-47  157.9   0.5   1   1   4.8e-49   7.6e-47  157.2   0.5     2   231     4   230     3   235 0.91 tig00000005_46 # 35356 # 36813 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:506572-507231|-   -            220 8319                 -            236   1.3e-40  136.8   0.1   1   1   9.2e-43   1.4e-40  136.6   0.1     5   231     2   219     1   219 0.90 tig00000001_478 # 506572 # 507231 # -1 # ID=1_478;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:1119712-1120386|+ -            225 8319                 -            236   1.6e-35  120.1   2.5   1   1   1.3e-37   2.1e-35  119.7   2.5     2   228     3   221     1   223 0.83 tig00000001_1055 # 1119712 # 1120386 # 1 # ID=1_1055;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:1014200-1014868|+ -            223 8319                 -            236     4e-33  112.3   2.9   1   1   6.1e-35   9.6e-33  111.0   2.9     2   229     3   219     1   221 0.90 tig00000001_957 # 1014200 # 1014868 # 1 # ID=1_957;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000002:121068-121721|-   -            218 8319                 -            236   1.6e-25   87.3   1.4   1   1   1.7e-27   2.7e-25   86.6   1.4     1   231     1   215     1   217 0.89 tig00000002_120 # 121068 # 121721 # -1 # ID=2_120;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.268
