#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1529222-1531231|+ -            670 9810191              -            634  1.7e-230  764.4   0.0   1   1  7.4e-233  3.3e-230  763.5   0.0     2   621     3   649     2   669 0.89 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:1608964-1611609|+ -            882 9810191              -            634   9.6e-40  134.3   0.8   1   2   9.1e-15   4.1e-12   43.0   0.0     2   140    37   194    36   206 0.80 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:1608964-1611609|+ -            882 9810191              -            634   9.6e-40  134.3   0.8   2   2   7.1e-26   3.2e-23   79.7   0.4   177   494   354   702   314   717 0.74 tig00000001_1540 # 1608964 # 1611609 # 1 # ID=1_1540;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:375042-377456|-   -            805 9810191              -            634   3.9e-35  119.1   1.3   1   3   1.8e-22   8.2e-20   68.5   0.0     3   221    30   223    28   229 0.83 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 9810191              -            634   3.9e-35  119.1   1.3   2   3     0.018       8.2    2.4   0.2   195   239   392   428   385   432 0.74 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:375042-377456|-   -            805 9810191              -            634   3.9e-35  119.1   1.3   3   3   3.9e-13   1.7e-10   37.7   0.2   268   437   518   688   509   733 0.75 tig00000001_365 # 375042 # 377456 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
tig00000001:1379184-1381982|+ -            933 9810191              -            634   1.9e-30  103.6   1.0   1   3   3.6e-16   1.6e-13   47.7   0.0     5   140    49   199    45   207 0.77 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1379184-1381982|+ -            933 9810191              -            634   1.9e-30  103.6   1.0   2   3   4.4e-05      0.02   11.0   0.1   174   239   399   462   390   466 0.86 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:1379184-1381982|+ -            933 9810191              -            634   1.9e-30  103.6   1.0   3   3   2.9e-14   1.3e-11   41.4   0.3   301   516   573   795   516   823 0.72 tig00000001_1302 # 1379184 # 1381982 # 1 # ID=1_1302;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001:468590-470002|-   -            471 9810191              -            634   5.1e-20   69.1   2.9   1   2   8.7e-13   3.9e-10   36.5   0.1    15    90    32   106    24   154 0.90 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001:468590-470002|-   -            471 9810191              -            634   5.1e-20   69.1   2.9   2   2   1.2e-11   5.5e-09   32.7   0.7   306   443   254   389   231   416 0.77 tig00000001_438 # 468590 # 470002 # -1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
