#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1262028-1262366|+ -            113 17357                -            112   8.5e-59  194.3  12.7   1   1   1.8e-61   9.4e-59  194.1  12.7     1   112     1   112     1   112 0.99 NZ_CP014529.1_1225 # 1262028 # 1262366 # 1 # ID=1_1225;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.333
NZ_CP014530.1:135233-136192|+   -            320 17357                -            112     0.014   13.2   0.2   1   1   5.1e-05     0.026   12.3   0.2    18    56     4    42     1    86 0.78 NZ_CP014530.1_133 # 135233 # 136192 # 1 # ID=2_133;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.373
NZ_CP014530.1:157191-158486|+   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NZ_CP014530.1_156 # 157191 # 158486 # 1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014530.1:157191-158486|+   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NZ_CP014530.1_156 # 157191 # 158486 # 1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014529.1:1253483-1254778|- -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NZ_CP014529.1_1219 # 1253483 # 1254778 # -1 # ID=1_1219;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CP014529.1:1253483-1254778|- -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NZ_CP014529.1_1219 # 1253483 # 1254778 # -1 # ID=1_1219;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CP014529.1:2148402-2149697|+ -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NZ_CP014529.1_2086 # 2148402 # 2149697 # 1 # ID=1_2086;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NZ_CP014529.1:2148402-2149697|+ -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NZ_CP014529.1_2086 # 2148402 # 2149697 # 1 # ID=1_2086;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NZ_CP014529.1:2357398-2358693|- -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NZ_CP014529.1_2322 # 2357398 # 2358693 # -1 # ID=1_2322;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CP014529.1:2357398-2358693|- -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NZ_CP014529.1_2322 # 2357398 # 2358693 # -1 # ID=1_2322;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/17357at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:18 2026
# [ok]
