#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_59342_cov_60.374412:32456-33355|+   -            300 28021                -            290  3.5e-152  503.5   0.0   1   1  2.9e-154    4e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_18_length_59342_cov_60.374412_29 # 32456 # 33355 # 1 # ID=18_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_2_length_252901_cov_71.242866:103204-106020|+ -            939 28021                -            290   0.00026   18.2   0.0   1   2     0.037       5.1    4.1   0.0   151   169    25    43    10    63 0.79 NODE_2_length_252901_cov_71.242866_105 # 103204 # 106020 # 1 # ID=2_105;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:103204-106020|+ -            939 28021                -            290   0.00026   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 NODE_2_length_252901_cov_71.242866_105 # 103204 # 106020 # 1 # ID=2_105;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_14_length_67873_cov_82.007916:37597-38298|-   -            234 28021                -            290   0.00063   16.9   0.0   1   1     7e-06   0.00096   16.3   0.0   125   172     6    53     2    66 0.78 NODE_14_length_67873_cov_82.007916_30 # 37597 # 38298 # -1 # ID=14_30;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_19_length_58687_cov_59.880605:32343-32981|+   -            213 28021                -            290   0.00089   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 NODE_19_length_58687_cov_59.880605_29 # 32343 # 32981 # 1 # ID=19_29;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 28021                -            290   0.00089   16.4   3.7   1   3   0.00017     0.024   11.7   0.1   148   172    25    49     4    64 0.74 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 28021                -            290   0.00089   16.4   3.7   2   3     0.028       3.8    4.5   0.3   150   176   277   303   194   315 0.69 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 28021                -            290   0.00089   16.4   3.7   3   3       2.1   2.8e+02   -1.7   0.0    75   119   420   463   412   471 0.76 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_33_length_26158_cov_60.272498:17980-19377|+   -            466 28021                -            290   0.00096   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 NODE_33_length_26158_cov_60.272498_18 # 17980 # 19377 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_33_length_26158_cov_60.272498:17980-19377|+   -            466 28021                -            290   0.00096   16.3   0.6   2   3    0.0048      0.66    7.0   0.0   149   184   223   259   190   266 0.79 NODE_33_length_26158_cov_60.272498_18 # 17980 # 19377 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_33_length_26158_cov_60.272498:17980-19377|+   -            466 28021                -            290   0.00096   16.3   0.6   3   3      0.32        43    1.0   0.0   101   173   331   402   289   438 0.62 NODE_33_length_26158_cov_60.272498_18 # 17980 # 19377 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
