# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcaceae_odb12 (Creation date: 2025-05-14, number of genomes: 19, number of BUSCOs: 714)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at81852	Complete	tig00000001	2229563	2232208	+	1669.6	878
444at81852	Complete	tig00000001	993760	991466	-	1396.8	751
599at81852	Complete	tig00000001	1529222	1531231	+	1419.4	669
705at81852	Complete	tig00000001	38769	36829	-	1363.6	643
814at81852	Complete	tig00000001	2165871	2164066	-	1068.7	601
837at81852	Complete	tig00000001	1736028	1738385	+	1372.9	770
1249at81852	Complete	tig00000001	2660475	2658589	-	1079.4	621
1360at81852	Duplicated	tig00000001	689024	687459	-	1090.2	518
1360at81852	Duplicated	tig00000002	123290	124903	+	1086.2	510
1399at81852	Complete	tig00000001	739986	741668	+	1002.8	557
1424at81852	Complete	tig00000001	2412587	2414293	+	969.3	562
1614at81852	Complete	tig00000001	1909073	1907337	-	715.1	554
1719at81852	Complete	tig00000001	2507891	2504364	-	1557.7	1148
1785at81852	Complete	tig00000001	2433017	2431347	-	1029.0	555
2159at81852	Complete	tig00000001	663409	664701	+	938.6	429
2313at81852	Complete	tig00000001	1568568	1569899	+	763.5	436
2597at81852	Complete	tig00000001	1858730	1861519	+	1170.9	859
2754at81852	Complete	tig00000001	699803	700969	+	776.8	388
2768at81852	Complete	tig00000001	1302190	1303485	+	901.1	428
3237at81852	Complete	tig00000001	119254	118034	-	468.1	328
3315at81852	Complete	tig00000001	2441414	2440065	-	845.8	445
3330at81852	Complete	tig00000001	264189	262897	-	822.7	427
3398at81852	Complete	tig00000001	1538476	1537367	-	775.6	367
3625at81852	Fragmented	tig00000001	254825	252603	-	429.7	678
3809at81852	Complete	tig00000001	187784	186468	-	441.8	409
3920at81852	Complete	tig00000001	1125094	1123898	-	727.0	384
4084at81852	Complete	tig00000001	2189250	2190623	+	798.1	451
4559at81852	Complete	tig00000001	1162009	1163244	+	812.0	410
4733at81852	Complete	tig00000001	2541173	2540049	-	395.6	360
4745at81852	Complete	tig00000001	893208	894287	+	703.4	357
4818at81852	Complete	tig00000001	796892	797893	+	665.4	329
4862at81852	Complete	tig00000001	723070	724008	+	669.8	312
5602at81852	Complete	tig00000001	2476750	2475809	-	567.7	310
5782at81852	Complete	tig00000001	2188084	2189139	+	641.7	340
6455at81852	Complete	tig00000001	1535279	1536163	+	561.7	290
6584at81852	Complete	tig00000001	2554527	2552884	-	967.3	524
6804at81852	Complete	tig00000001	1785472	1786374	+	565.0	292
6992at81852	Complete	tig00000001	1159940	1160713	+	538.7	256
7212at81852	Complete	tig00000001	2101782	2102594	+	483.6	257
7426at81852	Complete	tig00000001	1533948	1534724	+	497.9	255
7677at81852	Complete	tig00000001	726362	727159	+	515.4	263
7733at81852	Complete	tig00000001	703519	702833	-	467.8	228
7785at81852	Complete	tig00000001	61095	60133	-	510.3	315
7807at81852	Complete	tig00000001	1158895	1159743	+	445.3	278
7842at81852	Complete	tig00000001	700993	701811	+	513.9	269
7856at81852	Complete	tig00000001	2491976	2491143	-	449.0	264
8193at81852	Complete	tig00000001	1274776	1275603	+	516.6	270
8319at81852	Fragmented	tig00000001	1999378	1999950	+	380.4	190
8577at81852	Complete	tig00000001	93335	92793	-	328.6	179
8817at81852	Complete	tig00000001	578199	578885	+	197.5	220
8931at81852	Complete	tig00000001	2673912	2673232	-	369.8	221
9080at81852	Complete	tig00000001	2649785	2649018	-	419.8	252
9100at81852	Complete	tig00000001	705088	704405	-	397.0	223
9243at81852	Complete	tig00000001	1384219	1383572	-	361.6	213
9623at81852	Complete	tig00000001	1760912	1761805	+	508.3	294
9626at81852	Complete	tig00000001	86330	85722	-	406.0	202
9919at81852	Complete	tig00000001	2458945	2458268	-	382.3	212
10082at81852	Complete	tig00000001	2638922	2639560	+	366.0	209
10162at81852	Complete	tig00000001	424878	423304	-	515.1	386
10394at81852	Complete	tig00000001	1534726	1535286	+	310.0	181
10425at81852	Complete	tig00000001	2085828	2086370	+	233.5	175
10444at81852	Complete	tig00000001	716167	716706	+	390.2	179
11095at81852	Complete	tig00000001	2428517	2427978	-	322.2	176
11126at81852	Complete	tig00000001	2156482	2155961	-	243.3	170
11129at81852	Complete	tig00000001	233531	233028	-	332.4	167
11163at81852	Complete	tig00000001	2459650	2458952	-	284.0	224
11308at81852	Complete	tig00000001	718450	718950	+	341.4	164
12247at81852	Complete	tig00000001	694302	694700	+	243.4	128
12767at81852	Complete	tig00000001	2234892	2236265	+	466.9	445
13299at81852	Complete	tig00000001	267495	267049	-	246.7	147
13490at81852	Complete	tig00000001	739572	739934	+	233.0	120
13534at81852	Complete	tig00000001	1137754	1138098	+	192.7	113
13735at81852	Complete	tig00000001	2520557	2520213	-	194.0	108
13742at81852	Complete	tig00000001	2540068	2539622	-	190.7	139
14302at81852	Complete	tig00000001	722601	722990	+	276.5	127
14325at81852	Complete	tig00000001	2184870	2185175	+	172.2	100
15052at81852	Complete	tig00000001	715831	716139	+	152.5	72
15301at81852	Complete	tig00000001	721823	722041	+	171.5	72
15393at81852	Complete	tig00000001	2536830	2536213	-	226.3	202
15547at81852	Complete	tig00000001	744993	745235	+	139.3	78
15646at81852	Complete	tig00000001	1650755	1651060	+	176.6	99
15803at81852	Complete	tig00000001	2515733	2515545	-	84.2	59
15847at81852	Complete	tig00000001	739302	739114	-	144.6	62
16163at81852	Complete	tig00000001	716725	716910	+	152.9	61
16176at81852	Complete	tig00000001	2630936	2630175	-	495.4	255
16182at81852	Complete	tig00000001	2663818	2663363	-	288.2	149
16202at81852	Complete	tig00000001	722074	722190	+	91.4	37
16208at81852	Complete	tig00000001	1303584	1303847	+	197.8	86
16239at81852	Complete	tig00000001	2658577	2657630	-	577.2	315
16281at81852	Complete	tig00000001	1495888	1496484	+	400.5	189
16282at81852	Complete	tig00000001	440137	439919	-	154.0	72
16291at81852	Complete	tig00000001	713144	713422	+	202.8	92
16304at81852	Complete	tig00000001	1849873	1850376	+	307.4	162
16315at81852	Complete	tig00000001	221174	221022	-	106.9	49
16346at81852	Complete	tig00000001	575475	575032	-	312.7	147
16368at81852	Complete	tig00000001	1326178	1323989	-	1537.0	718
16375at81852	Complete	tig00000001	2594048	2593488	-	240.1	171
16403at81852	Complete	tig00000001	720985	721632	+	429.5	215
16463at81852	Complete	tig00000001	619935	618685	-	880.7	411
16466at81852	Complete	tig00000001	1650036	1650302	+	177.2	88
16470at81852	Complete	tig00000001	2605338	2604190	-	758.4	381
16490at81852	Complete	tig00000001	442073	442846	+	366.1	247
16520at81852	Complete	tig00000001	2451062	2449896	-	786.1	385
16545at81852	Complete	tig00000001	185543	184734	-	515.6	266
16567at81852	Complete	tig00000001	1714866	1713499	-	875.6	449
16610at81852	Complete	tig00000001	1863344	1864642	+	882.9	432
16621at81852	Complete	tig00000001	2653088	2652861	-	121.6	72
16633at81852	Complete	tig00000001	1724901	1725656	+	523.3	251
16637at81852	Complete	tig00000001	713806	714462	+	474.7	217
16651at81852	Complete	tig00000001	256768	256145	-	364.3	202
16665at81852	Complete	tig00000001	377456	375042	-	1717.7	804
16677at81852	Complete	tig00000001	714465	714899	+	308.9	140
16693at81852	Complete	tig00000001	1760242	1760928	+	480.2	228
16696at81852	Complete	tig00000001	50721	50071	-	357.3	200
16720at81852	Complete	tig00000001	657291	657590	+	189.1	97
16743at81852	Complete	tig00000001	712268	713101	+	601.1	275
16778at81852	Complete	tig00000001	262882	261113	-	1167.9	587
16780at81852	Complete	tig00000001	717376	717912	+	353.0	178
16796at81852	Complete	tig00000001	705904	706374	+	342.6	156
16832at81852	Complete	tig00000001	786050	786847	+	536.4	264
16850at81852	Complete	tig00000001	1914245	1914520	+	191.0	90
16867at81852	Complete	tig00000001	2426668	2425742	-	621.2	306
16872at81852	Complete	tig00000001	52167	51058	-	740.7	369
16875at81852	Complete	tig00000001	2640567	2639692	-	471.2	290
16886at81852	Complete	tig00000001	1499786	1501030	+	830.0	410
16889at81852	Complete	tig00000001	1321897	1323018	+	687.3	367
16921at81852	Complete	tig00000001	449073	448393	-	457.0	226
16922at81852	Complete	tig00000001	2472127	2471615	-	350.6	170
16923at81852	Complete	tig00000001	475638	475111	-	295.1	163
16949at81852	Complete	tig00000001	1295033	1295425	+	213.1	122
16977at81852	Complete	tig00000001	668102	666480	-	1152.7	539
17004at81852	Complete	tig00000001	2098407	2099189	+	556.7	255
17008at81852	Complete	tig00000001	293205	292261	-	590.3	312
17020at81852	Complete	tig00000001	468593	468198	-	241.8	130
17022at81852	Complete	tig00000001	716946	717344	+	279.7	132
17035at81852	Complete	tig00000001	1119712	1120386	+	338.2	222
17046at81852	Complete	tig00000001	1385653	1386666	+	552.6	331
17055at81852	Complete	tig00000001	2656235	2655393	-	484.5	278
17059at81852	Complete	tig00000001	221336	221980	+	378.4	210
17061at81852	Complete	tig00000001	208406	207705	-	432.3	233
17069at81852	Complete	tig00000001	438220	437606	-	413.3	204
17071at81852	Complete	tig00000001	710320	710628	+	224.0	102
17085at81852	Complete	tig00000001	2113005	2113298	+	184.4	97
17089at81852	Complete	tig00000001	1345616	1345909	+	197.2	94
17093at81852	Complete	tig00000001	1917277	1917624	+	243.0	115
17097at81852	Complete	tig00000001	1725772	1727070	+	909.3	429
17157at81852	Complete	tig00000001	2555529	2554552	-	688.6	325
17167at81852	Complete	tig00000001	2686128	2685241	-	544.4	295
17173at81852	Complete	tig00000001	1755603	1756154	+	364.7	184
17191at81852	Complete	tig00000001	1033073	1033774	+	440.7	233
17213at81852	Complete	tig00000001	472317	470857	-	999.0	485
17223at81852	Complete	tig00000001	466041	465796	-	155.2	79
17241at81852	Complete	tig00000001	575016	574624	-	276.2	130
17244at81852	Complete	tig00000001	447429	446611	-	542.4	270
17261at81852	Complete	tig00000001	727362	728108	+	449.3	245
17265at81852	Complete	tig00000001	1598514	1599251	+	386.4	240
17270at81852	Complete	tig00000001	1814072	1814533	+	273.5	151
17278at81852	Complete	tig00000001	1715843	1716280	+	203.9	143
17300at81852	Complete	tig00000001	22227	21265	-	673.5	320
17307at81852	Complete	tig00000001	783073	782462	-	432.1	201
17347at81852	Complete	tig00000001	392176	390983	-	803.6	393
17348at81852	Complete	tig00000001	46871	46152	-	480.4	238
17357at81852	Complete	tig00000001	1910367	1910705	+	194.3	112
17358at81852	Complete	tig00000001	2086838	2087854	+	662.8	333
17365at81852	Complete	tig00000001	2070882	2071031	+	121.7	49
17372at81852	Complete	tig00000001	2657610	2657083	-	259.5	159
17376at81852	Complete	tig00000001	2093446	2095137	+	1099.6	563
17380at81852	Complete	tig00000001	811214	810651	-	353.1	187
17381at81852	Complete	tig00000001	1751112	1751819	+	448.3	235
17382at81852	Complete	tig00000001	68342	66615	-	1188.0	573
17386at81852	Complete	tig00000001	624054	623587	-	233.2	149
17397at81852	Complete	tig00000001	1741327	1742883	+	1072.6	506
17415at81852	Complete	tig00000001	2186644	2188074	+	1020.2	475
17426at81852	Complete	tig00000001	1528579	1527758	-	505.8	266
17449at81852	Complete	tig00000001	475048	473678	-	927.7	456
17457at81852	Complete	tig00000001	290232	290666	+	262.8	140
17489at81852	Complete	tig00000001	2140840	2143656	+	1962.7	938
17500at81852	Complete	tig00000001	1383557	1382031	-	948.3	499
17515at81852	Complete	tig00000001	2010627	2011973	+	935.8	448
17521at81852	Complete	tig00000001	1781510	1782511	+	663.9	331
17540at81852	Complete	tig00000001	54518	53649	-	553.8	285
17576at81852	Complete	tig00000001	2068118	2070013	+	944.4	599
17581at81852	Complete	tig00000001	811465	811734	+	190.4	89
17604at81852	Complete	tig00000001	403505	402009	-	1016.0	495
17682at81852	Complete	tig00000001	719188	719628	+	297.5	146
17689at81852	Complete	tig00000001	2643420	2642872	-	370.2	180
17699at81852	Complete	tig00000001	1692597	1693496	+	578.5	298
17704at81852	Complete	tig00000001	2106809	2111167	+	2817.0	1439
17725at81852	Complete	tig00000001	2418418	2417702	-	395.7	231
17727at81852	Complete	tig00000001	1299888	1300757	+	579.3	288
17737at81852	Complete	tig00000001	690006	689083	-	572.9	306
17750at81852	Complete	tig00000001	1252842	1253822	+	644.6	326
