#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1234565-1235272|+ -            236 17381                -            235  8.8e-136  448.3   1.0   1   1  4.2e-138  9.9e-136  448.2   1.0     1   235     1   235     1   235 1.00 contig_2_pilon_1187 # 1234565 # 1235272 # 1 # ID=5_1187;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
contig_11_pilon:137390-138124|+  -            245 17381                -            235   6.6e-36  121.4   0.3   1   1   3.3e-38   7.6e-36  121.2   0.3     5   231     8   235     4   239 0.94 contig_11_pilon_134 # 137390 # 138124 # 1 # ID=3_134;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1_pilon:559978-560697|-   -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.3e-33  113.9   0.0     5   223     1   223     1   230 0.92 contig_1_pilon_529 # 559978 # 560697 # -1 # ID=1_529;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
contig_2_pilon:686288-686989|+   -            234 17381                -            235   3.9e-26   89.5   0.8   1   1     2e-28   4.6e-26   89.2   0.8     2   226     2   222     1   230 0.88 contig_2_pilon_638 # 686288 # 686989 # 1 # ID=5_638;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_11_pilon:37323-38057|-    -            245 17381                -            235   1.7e-24   84.1   0.6   1   1     1e-26   2.3e-24   83.6   0.6    13   220     8   215     5   223 0.93 contig_11_pilon_40 # 37323 # 38057 # -1 # ID=3_40;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
contig_2_pilon:278294-279007|+   -            238 17381                -            235   4.2e-18   63.2   0.3   1   1   2.3e-20   5.5e-18   62.8   0.3    12   232     8   229     3   231 0.90 contig_2_pilon_254 # 278294 # 279007 # 1 # ID=5_254;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_2_pilon:937929-939008|+   -            360 17381                -            235   1.8e-15   54.5   0.2   1   1   1.3e-17   3.1e-15   53.8   0.2     8    78     4    74     1    88 0.92 contig_2_pilon_904 # 937929 # 939008 # 1 # ID=5_904;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_11_pilon:36641-37339|-    -            233 17381                -            235   1.5e-14   51.5   0.0   1   1   2.2e-16   5.1e-14   49.8   0.0    12    79    13    80     6   200 0.85 contig_11_pilon_39 # 36641 # 37339 # -1 # ID=3_39;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
contig_1_pilon:727184-728608|+   -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.7e-12   44.2   0.0     3    72     8    77     6    83 0.95 contig_1_pilon_688 # 727184 # 728608 # 1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
contig_1_pilon:322362-323006|+   -            215 17381                -            235   5.6e-12   43.1   0.2   1   1   3.1e-14   7.3e-12   42.7   0.2     6    74    10    78     5   132 0.90 contig_1_pilon_277 # 322362 # 323006 # 1 # ID=1_277;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
contig_1_pilon:181268-182314|-   -            349 17381                -            235   2.5e-10   37.7   0.0   1   1   1.6e-12   3.8e-10   37.1   0.0     4    73     2    71     1    88 0.92 contig_1_pilon_156 # 181268 # 182314 # -1 # ID=1_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
contig_2_pilon:1191728-1193122|- -            465 17381                -            235   8.7e-08   29.4   0.0   1   1   8.4e-10     2e-07   28.3   0.0     4    99    21   116    18   135 0.87 contig_2_pilon_1140 # 1191728 # 1193122 # -1 # ID=5_1140;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
contig_2_pilon:370170-370856|-   -            229 17381                -            235    0.0024   14.9   0.5   1   1   1.5e-05    0.0036   14.3   0.5    10   132     9   125     5   147 0.83 contig_2_pilon_343 # 370170 # 370856 # -1 # ID=5_343;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/17381at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:25 2026
# [ok]
