#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:637568-638668|-   -            367 19956                -            366    1e-245  811.6   6.7   1   1  2.5e-248  1.1e-245  811.4   6.7     1   366     1   366     1   366 1.00 tig00000001_582 # 637568 # 638668 # -1 # ID=1_582;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001:2477735-2479048|- -            438 19956                -            366   9.4e-18   61.5   0.1   1   2   5.1e-17   2.3e-14   50.4   0.0     5   138   163   273   159   290 0.87 tig00000001_2404 # 2477735 # 2479048 # -1 # ID=1_2404;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001:2477735-2479048|- -            438 19956                -            366   9.4e-18   61.5   0.1   2   2    0.0085       3.8    3.6   0.0   254   302   312   360   294   384 0.78 tig00000001_2404 # 2477735 # 2479048 # -1 # ID=1_2404;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001:2670376-2671686|- -            437 19956                -            366   5.2e-05   19.6   4.2   1   5   2.4e-05     0.011   12.0   0.0     4    23     5    24     1    34 0.89 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   5.2e-05   19.6   4.2   2   5       0.4   1.8e+02   -1.9   0.0   219   252    66   101    59   115 0.75 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   5.2e-05   19.6   4.2   3   5    0.0016      0.72    6.0   0.0     6    22   178   194   174   200 0.88 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   5.2e-05   19.6   4.2   4   5      0.25   1.1e+02   -1.2   0.0   222   252   246   276   235   285 0.79 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   5.2e-05   19.6   4.2   5   5      0.17        77   -0.7   0.1   167   167   295   295   246   364 0.53 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:1625083-1626312|+ -            410 19956                -            366    0.0012   15.1   0.0   1   1   4.8e-06    0.0021   14.3   0.0     5    39   196   230   193   257 0.93 tig00000001_1555 # 1625083 # 1626312 # 1 # ID=1_1555;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001:2649778-2650638|- -            287 19956                -            366    0.0077   12.5   0.0   1   1   2.8e-05     0.012   11.8   0.0     2    34   120   153   119   159 0.80 tig00000001_2568 # 2649778 # 2650638 # -1 # ID=1_2568;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:51058-52167|-     -            370 19956                -            366      0.01   12.1   0.0   1   1   3.9e-05     0.017   11.3   0.0     7    29   169   191   165   211 0.81 tig00000001_39 # 51058 # 52167 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001:198641-200773|-   -            711 19956                -            366     0.039   10.2   0.0   1   1   0.00013     0.056    9.6   0.0     6    44     4    42     1    59 0.83 tig00000001_218 # 198641 # 200773 # -1 # ID=1_218;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19956at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:09:51 2026
# [ok]
